SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/19/2016,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,660","5,430",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/28/2015,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,427","5,020",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,6,"2,815","2,590",E,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6,"2,725","2,500",W,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/22/2012,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,745","5,530",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/13/2011,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,640","5,420",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11-12-2009,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,145","5,260",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/20/2008,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,295","5,110",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08-01-2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),A,VC,HAN,5,"2,666","2,360",E,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08-01-2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),A,VC,HAN,5,"2,624","2,320",W,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),06/20/2022,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"4,548","4,090",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2021,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"4,365","4,150",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,"1,807","1,390",W,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,4,"1,787","1,380",E,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/16/2019,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"4,351","3,880",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11-01-2018,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,512","3,510",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07-06-2017,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,3,"1,830","1,650",E,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07-06-2017,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,"1,898","1,710",W,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/19/2016,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,533","3,220",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/28/2015,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,227","2,990",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/24/2013,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,603","3,320",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,"1,694","1,630",W,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,30,"1,625","1,560",E,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07-07-2011,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,747","3,220",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11-12-2009,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"2,906","2,970",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2008,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,093","2,990",,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08-01-2007,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,"3,474","2,800",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),06/20/2022,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,234","1,930",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,"1,047","1,020",W,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3,999,970,E,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/19/2020,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"1,870","1,820",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09-09-2019,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,074","1,780",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07-06-2017,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3,"1,075",860,E,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07-06-2017,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,"1,130",910,W,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/19/2016,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,176","1,940",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/28/2015,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"1,888","1,690",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/16/2013,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,226","2,010",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),05/27/2013,JUST WEST OF ROBERT DR,C,TC,HAN,,"2,143","2,010",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/22/2012,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,082","1,980",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07-07-2011,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,188","1,700",,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11-10-2009,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,3,831,920,W,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11-10-2009,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,4,801,890,E,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2008,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,894,860,W,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2008,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,4,874,840,E,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),08-01-2007,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,"2,167","1,570",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),06/20/2022,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,6,"1,817","1,630",W,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),06/20/2022,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,6,"1,973","1,770",E,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/20/2021,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"4,390","4,180",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/19/2020,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"4,022","3,830",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09-09-2019,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"4,079","3,650",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),11-01-2018,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"3,848","3,850",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07-06-2017,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,5,"1,993","1,790",E,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07-06-2017,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,10,"2,014","1,810",W,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07/18/2016,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"4,325","3,640",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/16/2013,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,5,"1,852","1,700",W,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/16/2013,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,5,"1,796","1,650",E,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/22/2012,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"3,651","3,510",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/22/2011,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"3,748","3,440",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09-10-2009,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"3,343","3,420",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/20/2008,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,"3,452","3,330",,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),08-01-2007,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,4,"1,797","1,450",E,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),08-01-2007,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,4,"1,869","1,510",W,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/31/2022,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,218","2,280",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/20/2021,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,710","2,580",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/19/2020,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,079","1,980",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08/20/2020,JUST WEST OF ST CROIX RIVER BRIDGE (EB),B,VC,HAN,4,924,710,E,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08/20/2020,JUST WEST OF ST CROIX RIVER BRIDGE (WB),B,VC,HAN,5,924,710,W,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09-09-2019,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,233","2,000",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11-01-2018,JUST WEST OF PLEASANT ST (EB),B,VC,HAN,6,944,940,E,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11-01-2018,JUST WEST OF PLEASANT ST (WB),B,VC,HAN,5,965,970,W,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/17/2017,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,290","2,120",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,07/18/2016,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,442","2,060",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/30/2015,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,114","1,960",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/16/2013,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,434","2,240",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/23/2012,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,242","2,160",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/22/2011,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,352","2,160",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11-10-2009,JUST WEST OF PLEASANT ST (WB),B,VC,HAN,6,"1,055","1,080",W,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11-10-2009,JUST WEST OF PLEASANT ST (EB),B,VC,HAN,5,"1,061","1,080",E,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/20/2008,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,262","2,180",,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08-01-2007,JUST WEST OF PLEASANT ST,B,TC,HAN,,"2,527","2,040",,,
1085,1,85,0.92,WINDSOR-GARLANDS CROSSING LINE TO TK 14 (WINDSOR),03/23/2006,AT TK 14  (GARLAND CROSSING),,SA,HAN,,,,,,42
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/21/2022,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"7,656","7,130",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/20/2021,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,828","6,580",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/19/2020,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,114","5,900",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,08/15/2019,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,803","5,880",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/17/2017,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,261","6,110",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,07/27/2016,JUST WEST OF FALMOUTH BRIDGE (EB),A,VC,HAN,6,"3,237","2,870",E,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,07/27/2016,JUST WEST OF FALMOUTH BRIDGE (WB),A,VC,HAN,6,"3,198","2,830",W,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/30/2015,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,534","6,260",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/16/2013,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,519","6,130",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/22/2012,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"7,000","6,850",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/22/2011,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,,"6,979","6,580",,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,11-10-2009,JUST WEST OF FALMOUTH BRIDGE (WB),A,VC,HAN,9,"2,819","2,880",W,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,11-10-2009,JUST WEST OF FALMOUTH BRIDGE (EB),A,VC,HAN,7,"2,900","2,960",E,,
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,08-01-2007,JUST WEST OF FALMOUTH BRIDGE,B,TC,HAN,,"7,435","5,990",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,09/21/2022,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,666","1,550",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,10/20/2021,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,446","1,390",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,10/19/2020,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,431","1,380",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,08/15/2019,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,739","1,500",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,08/15/2019,100 M EAST OF GABRIEL RD (EB),A,VC,HAN,5,"1,254","1,080",E,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,08/15/2019,100 M EAST OF GABRIEL RD (WB),A,VC,HAN,5,"1,238","1,070",W,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,08/15/2019,100 M WEST OF FALMOUTH CONNECTOR (WB),A,VC,HAN,9,"3,874","3,350",W,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,08/15/2019,100 M WEST OF FALMOUTH CONNECTOR (EB),A,VC,HAN,8,"3,731","3,230",E,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,11-01-2018,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,262","1,260",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,10/17/2017,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,141","1,110",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,07/27/2016,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,"1,408","1,250",,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,07/27/2016,250 M WEST OF LIGHT HOUSE RD (EB),A,VC,HAN,2,586,520,E,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,07/27/2016,250 M WEST OF LIGHT HOUSE RD (WB),A,VC,HAN,2,697,620,W,,
